1
1,15:43:06,300,2700
2,15:43:16,300,3000
3,15:43:26,300,3000
4,15:43:36,300,3000
5,15:43:46,300,3000
6,15:43:56,400,3000
7,15:44:06,400,3500
8,15:44:16,400,3500
9,15:44:26,400,3500
10,15:44:36,400,3500
11,15:44:46,400,4000
12,15:44:56,400,4000
13,15:45:06,300,4000
14,15:45:16,300,4000
15,15:45:26,300,4000
16,15:45:36,300,4000
17,15:45:46,400,4000
18,15:45:56,400,4000
19,15:46:06,400,4000
20,15:46:16,500,4000
21,15:46:26,500,3500
22,15:46:36,500,3500
23,15:46:46,400,3500
24,15:46:56,400,3500
1,17:44:42,300,3000
2,17:44:53,300,3500
3,17:45:03,300,3500
4,17:45:13,300,3500
5,17:45:23,300,4000
1,17:45:37,400,2700
2,17:45:47,400,3000
3,17:45:57,400,3000
4,17:46:07,400,3000
5,17:46:17,500,3000
6,17:46:27,400,3000
7,17:46:37,400,3000
